prompt,completion
"What sketch can be drawn from the Aepyornis?","Attack (3/4), Featherdust (1/4)"
"What abilities can be used while controlling the Aepyornis?","Attack, Featherdust"
"What is the Nettlehopper known as on the SNES?","CrassHoppr"
"What is the weakness of the Nettlehopper?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Slow, Stop"
"Where is the Nettlehopper located?","Overworld (Sabin's Scenario) [Forest] [WoB] Overworld (Area West of Veldt) [Grass]"
"What does the Nettlehopper drop?","Hi-Potion (1/8)"
"What can be stolen from the Nettlehopper?","Antidote (Always)"
"What is the special attack of the Nettlehopper?","Wing Snap (inflicts 'Berserk')"
"What status effects does the Nettlehopper resist?","Imp, Sleep"
"How much HP does the Nettlehopper have?","243"
"What rage can be learned from the Nettlehopper?","Berserk"
"What sketch can be drawn from the Nettlehopper?","Attack (3/4), Wing Snap (1/4)"
"What abilities can be used while controlling the Nettlehopper?","Attack, Wing Snap"
"What is the Chippirabbit known as on the SNES?","Rhobite"
"What is the weakness of the Chippirabbit?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Chippirabbit located?","Overworld (Sabin's Scenario) [Grass; Forest] [WoB]"
"What does the Chippirabbit drop?","Potion (1/8)"
"What can be stolen from the Chippirabbit?","Hi-Potion (Always)"
"What is the special attack of the Chippirabbit?","Incisors (150% damage)"
"How much HP does the Chippirabbit have?","135"
"What rage can be learned from the Chippirabbit?","Raise"
"What sketch can be drawn from the Chippirabbit?","Attack (3/4), Incisors (1/4)"
"What abilities can be used while controlling the Chippirabbit?","Attack, Incisors"
"What is the Captain known as on the SNES?","Leader"
"What is the weakness of the Captain?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Captain located?","Doma Castle (Sabin's Scenario) [WoB]"
"What does the Captain drop?","Black Belt (7/8), Phoenix Down (1/8)"
"What type of monster is the Captain?","Humanoid"
"What is the special attack of the Captain?","Axe (150% damage)"
"How much HP does the Captain have?","456"
"What sketch can be drawn from the Captain?","Attack (3/4), Axe (1/4)"
"What abilities can be used while controlling the Captain?","Attack, Axe"
"What is the Imperial Soldier known as on the SNES?","Soldier"
"What is the weakness of the Imperial Soldier?","Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Slow, Stop"
"Where is the Imperial Soldier located?","Doma Castle (Sabin's Scenario) Imperial Camp (Talk to a soldier)"
"What does the Imperial Soldier drop?","Potion (1/8)"
"What can be stolen from the Imperial Soldier?","Hi-Potion (7/8), Potion (1/8)"
"What type of monster is the Imperial Soldier?","Humanoid"
"What is the special attack of the Imperial Soldier?","Counterattack (150% damage)"
"What status effects does the Imperial Soldier resist?","Darkness, Sleep"
"How much HP does the Imperial Soldier have?","100"
"What rage can be learned from the Imperial Soldier?","Fire"
"What sketch can be drawn from the Imperial Soldier?","Attack (3/4), Libra (1/4)"
"What abilities can be used while controlling the Imperial Soldier?","Attack, Libra"
"What is the weakness of the Templar?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Templar located?","Imperial Camp (After Kefka runs away and sends soldiers after you)"
"What does the Templar drop?","Hi-Potion (1/8)"
"What can be stolen from the Templar?","Potion (Always)"
"What type of monster is the Templar?","Humanoid"
